chinese,english,source,refs_list
衣衫褴褛,wearing tattered clothes,JSON,['wearing tattered clothes']
一文不名,"having no money at all, being completely penniless",JSON,"['having no money at all, being completely penniless']"
人浮于事,"too many people to do a job, usually leading to inefficiency or confusion",JSON,"['too many people to do a job, usually leading to inefficiency or confusion']"
魂飞魄散,"suffer a great shock or fright, causing a feeling of complete disorientation or loss of control",JSON,"['suffer a great shock or fright, causing a feeling of complete disorientation or loss of control']"
唱对台戏,"""to sing in harmony,"" meaning to be in sync or in coordination with someone or something",JSON,"['to sing in harmony,']"
花枝招展,"to appear attractive and eye-catching, especially in terms of appearance or attire",JSON,"['to appear attractive and eye-catching, especially in terms of appearance or attire']"
心不在焉,to be absent-minded or distracted,JSON,['to be absent-minded or distracted']
独辟蹊径,taking a unique and unconventional approach,JSON,['taking a unique and unconventional approach']
一气呵成,"to complete a task or work in one go, without stopping or taking a break",JSON,"['to complete a task or work in one go, without stopping or taking a break']"
混淆是非,confusing right and wrong; deliberately making things unclear,JSON,"['confusing right and wrong', 'deliberately making things unclear']"
钩心斗角,engaging in intrigue and scheming,JSON,['engaging in intrigue and scheming']
千岩竞秀,numerous beautiful and awe-inspiring sights competing for attention; a scenery characterized by a multitude of magnificent rock formations,JSON,"['numerous beautiful and awe-inspiring sights competing for attention', 'a scenery characterized by a multitude of magnificent rock formations']"
喜笑颜开,"wearing a big smile on one's face, extremely happy",JSON,"[""wearing a big smile on one's face, extremely happy""]"
误人子弟,lead young people astray,JSON,['lead young people astray']
徇私枉法,"favoritism and corruption, disregarding justice and the law",JSON,"['favoritism and corruption, disregarding justice and the law']"
利害攸关,of vital importance; being crucial to the situation,JSON,"['of vital importance', 'being crucial to the situation']"
豺狼当道,corrupt and ruthless people in power,JSON,['corrupt and ruthless people in power']
水深火热,in a difficult and dangerous situation,JSON,['in a difficult and dangerous situation']
无名小卒,an insignificant or low-ranking person,JSON,['an insignificant or low-ranking person']
和盘托出,fully and honestly disclose or reveal,JSON,['fully and honestly disclose or reveal']
百般抚慰,trying every possible means to console or appease,JSON,['trying every possible means to console or appease']
骑马找马,Looking for something that is already in your possession; searching for what you already have,JSON,"['looking for something that is already in your possession', 'searching for what you already have']"
高楼大厦,a tall building or a grand structure,JSON,['a tall building or a grand structure']
笨嘴拙舌,having a clumsy or awkward way of speaking; being tongue-tied or inarticulate,JSON,"['having a clumsy or awkward way of speaking', 'being tongue-tied or inarticulate']"
安不忘危,Stay alert and cautious even in times of peace.,JSON,['stay alert and cautious even in times of peace.']
大而无当,"big but aimless, lacking in substance or purpose",JSON,"['big but aimless, lacking in substance or purpose']"
细微末节,trivial details,JSON,['trivial details']
登堂入室,mastering the essentials and becoming highly skilled; also refers to gaining deep understanding and knowledge on a particular subject,JSON,"['mastering the essentials and becoming highly skilled', 'also refers to gaining deep understanding and knowledge on a particular subject']"
无尽无休,endless; without end,JSON,"['endless', 'without end']"
事出有因,"everything happens for a reason, there is a cause for everything",JSON,"['everything happens for a reason, there is a cause for everything']"
泪如雨下,"crying profusely, tears flowing like rain",JSON,"['crying profusely, tears flowing like rain']"
鸡飞蛋打,A chaotic and disastrous scene; a situation where everything is in chaos and totally ruined,JSON,"['a chaotic and disastrous scene', 'a situation where everything is in chaos and totally ruined']"
永无宁日,"never have peace or rest, always in a state of unrest",JSON,"['never have peace or rest, always in a state of unrest']"
探骊得珠,"to make an unexpected discovery, to find something valuable while searching for something else",JSON,"['to make an unexpected discovery, to find something valuable while searching for something else']"
无声无臭,silent and odorless; used to describe something without any conspicuous or noticeable characteristics,JSON,"['silent and odorless', 'used to describe something without any conspicuous or noticeable characteristics']"
天下大乱,chaos and disorder in the world,JSON,['chaos and disorder in the world']
有口难辩,"difficult to argue back, speechless",JSON,"['difficult to argue back, speechless']"
倚马可待,rely on and wait for an opportunity,JSON,['rely on and wait for an opportunity']
鼓角齐鸣,united and strong; everyone working together harmoniously,JSON,"['united and strong', 'everyone working together harmoniously']"
救死扶伤,to save the dying and heal the wounded,JSON,['to save the dying and heal the wounded']
黄粱美梦,an illusory or unrealistic dream; a beautiful dream that is difficult to achieve or is bound to be shattered,JSON,"['an illusory or unrealistic dream', 'a beautiful dream that is difficult to achieve or is bound to be shattered']"
山崩海啸,a major disaster or catastrophe,JSON,['a major disaster or catastrophe']
口传心授,to pass down knowledge orally and directly from the heart,JSON,['to pass down knowledge orally and directly from the heart']
深恶痛疾,deeply hate and abhor,JSON,['deeply hate and abhor']
积微成著,small things accumulate to become significant; every little bit counts,JSON,"['small things accumulate to become significant', 'every little bit counts']"
绵绵不绝,"continuous and unending, without interruption",JSON,"['continuous and unending, without interruption']"
四方八面,from all directions; from every side,JSON,"['from all directions', 'from every side']"
雪中送炭,to give timely help or support to someone in need,JSON,['to give timely help or support to someone in need']
过从甚密,have a very close relationship,JSON,['have a very close relationship']
强加于人,to impose something on someone without their consent or against their will,JSON,['to impose something on someone without their consent or against their will']
三十六计，走为上策,"Of the Thirty-Six Stratagems, fleeing is the best plan.",JSON,"['of the thirty-six stratagems, fleeing is the best plan.']"
六道轮回,"the cycle of reincarnation; refers to the Buddhist belief that beings go through a series of births and deaths, experiencing different realms of existence",JSON,"['the cycle of reincarnation', 'refers to the buddhist belief that beings go through a series of births and deaths, experiencing different realms of existence']"
装聋作哑,to pretend to be deaf and mute,JSON,['to pretend to be deaf and mute']
一成不变,"unchanging, remaining the same",JSON,"['unchanging, remaining the same']"
九天揽月,reach for the moon,JSON,['reach for the moon']
酒肉朋友,Fair-weather friends,JSON,['fair-weather friends']
寡廉鲜耻,lacking in moral integrity and shamelessness,JSON,['lacking in moral integrity and shamelessness']
救苦救难,to rescue the suffering and help those in need,JSON,['to rescue the suffering and help those in need']
姑射神人,an exceptionally talented individual,JSON,['an exceptionally talented individual']
左右为难,caught between a rock and a hard place,JSON,['caught between a rock and a hard place']
梁上君子,"someone who behaves properly and ethically in front of others, but may have different intentions or hidden motives",JSON,"['someone who behaves properly and ethically in front of others, but may have different intentions or hidden motives']"
纹风不动,remaining calm and composed in the face of adversity,JSON,['remaining calm and composed in the face of adversity']
漫天盖地,covering the sky and the earth,JSON,['covering the sky and the earth']
发家致富,to become wealthy; to make a fortune,JSON,"['to become wealthy', 'to make a fortune']"
另眼相待,"treat someone with special attention and regard, usually in a positive or favorable way, different from how others are treated",JSON,"['treat someone with special attention and regard, usually in a positive or favorable way, different from how others are treated']"
明正典刑,fair and just punishment according to the law,JSON,['fair and just punishment according to the law']
翻然改图,suddenly change one's mind or plan,JSON,"[""suddenly change one's mind or plan""]"
赫赫之功,remarkable and outstanding achievements,JSON,['remarkable and outstanding achievements']
率由旧章,Follow the old rules,JSON,['follow the old rules']
含苞待放,"to be in a closed state, waiting for the opportunity to flourish or be revealed",JSON,"['to be in a closed state, waiting for the opportunity to flourish or be revealed']"
按劳分配,to distribute resources or rewards according to one's contribution or effort,JSON,"[""to distribute resources or rewards according to one's contribution or effort""]"
胆战心惊,to be terrified or frightened,JSON,['to be terrified or frightened']
秋老虎,Summer-like weather in autumn,JSON,['summer-like weather in autumn']
烘云托月,to exaggerate or embellish something,JSON,['to exaggerate or embellish something']
人同此心，心同此理,"people share the same thoughts and feelings, and they understand each other's reasoning",JSON,"[""people share the same thoughts and feelings, and they understand each other's reasoning""]"
直言无讳,speak frankly and be unafraid to point out the truth,JSON,['speak frankly and be unafraid to point out the truth']
百废俱兴,all things prospering at the same time,JSON,['all things prospering at the same time']
鸡鸣狗吠,making a lot of noise; squabbling; much ado about nothing,JSON,"['making a lot of noise', 'squabbling', 'much ado about nothing']"
铁画银钩,a flawless and exquisite piece of calligraphy or painting,JSON,['a flawless and exquisite piece of calligraphy or painting']
批亢捣虚,criticizing the wrong and exposing the false,JSON,['criticizing the wrong and exposing the false']
岂有此理,"""this is unreasonable"" or ""this is unjustifiable""",JSON,"['this is unreasonable', 'this is unjustifiable']"
趋利避害,seeking profits and avoiding risks,JSON,['seeking profits and avoiding risks']
地北天南,being far apart; referring to distant places or opposite directions,JSON,"['being far apart', 'referring to distant places or opposite directions']"
独出心裁,having a unique and original approach,JSON,['having a unique and original approach']
千人一面,"a person who does not have a distinctive personality or appearance, blending in with the crowd and lacking individuality",JSON,"['a person who does not have a distinctive personality or appearance, blending in with the crowd and lacking individuality']"
纠缠不清,to become entangled and unclear,JSON,['to become entangled and unclear']
近亲繁殖,breeding or reproducing with close relatives; inbreeding,JSON,"['breeding or reproducing with close relatives', 'inbreeding']"
千回百折,experiencing numerous twists and turns or ups and downs,JSON,['experiencing numerous twists and turns or ups and downs']
群雌粥粥,a situation where multiple women are vying for the attention and favor of the same man,JSON,['a situation where multiple women are vying for the attention and favor of the same man']
畏敌如虎,to fear the enemy like a tiger,JSON,['to fear the enemy like a tiger']
总而言之,in conclusion; to summarize; briefly speaking,JSON,"['in conclusion', 'to summarize', 'briefly speaking']"
开天辟地,to create or invent something completely new,JSON,['to create or invent something completely new']
月白风清,"tranquil and peaceful, with a clear and bright atmosphere",JSON,"['tranquil and peaceful, with a clear and bright atmosphere']"
允执厥中,adhering to one's principles and sticking to one's position,JSON,"[""adhering to one's principles and sticking to one's position""]"
众怒难犯,Difficult to offend the public anger; able to withstand public anger or criticism,JSON,"['difficult to offend the public anger', 'able to withstand public anger or criticism']"
坚忍不拔,"being firm and unyielding, never giving up",JSON,"['being firm and unyielding, never giving up']"
钟灵毓秀,having exceptional talent or exceptional qualities; being gifted and talented,JSON,"['having exceptional talent or exceptional qualities', 'being gifted and talented']"
涂脂抹粉,apply makeup,JSON,['apply makeup']
横七竖八,in a mess; in a state of disorder or confusion,JSON,"['in a mess', 'in a state of disorder or confusion']"
正襟危坐,sitting upright with a serious and attentive manner,JSON,['sitting upright with a serious and attentive manner']
面目一新,undergo a transformation; take on a completely new appearance,JSON,"['undergo a transformation', 'take on a completely new appearance']"
忘其所以,forget the reason or purpose behind something,JSON,['forget the reason or purpose behind something']
废寝忘食,to work tirelessly and forget about sleep and food,JSON,['to work tirelessly and forget about sleep and food']
洞天福地,a paradise or haven; a place of good fortune or opportunity,JSON,"['a paradise or haven', 'a place of good fortune or opportunity']"
金字招牌,a highly reputable and recognized brand or business,JSON,['a highly reputable and recognized brand or business']
际会风云,being present at a significant event or important meeting,JSON,['being present at a significant event or important meeting']
只可意会，不可言传,possible to understand but not possible to explain verbally,JSON,['possible to understand but not possible to explain verbally']
兴利除弊,to promote benefits and eliminate drawbacks,JSON,['to promote benefits and eliminate drawbacks']
投鞭断流,to stop a raging river with a horsewhip,JSON,['to stop a raging river with a horsewhip']
报仇雪耻,to take revenge and seek justice,JSON,['to take revenge and seek justice']
流年不利,"unlucky or unfavorable time, not going well",JSON,"['unlucky or unfavorable time, not going well']"
谑而不虐,making jokes without being cruel,JSON,['making jokes without being cruel']
利令智昏,being driven by personal interests to the point of losing the ability to think rationally,JSON,['being driven by personal interests to the point of losing the ability to think rationally']
宝刀不老,an excellent tool or skill that remains effective and powerful even after a long period of use,JSON,['an excellent tool or skill that remains effective and powerful even after a long period of use']
胸怀坦白,having an open and honest mind; being sincere and straightforward,JSON,"['having an open and honest mind', 'being sincere and straightforward']"
气喘吁吁,"""out of breath"" or ""panting heavily""",JSON,"['out of breath', 'panting heavily']"
自食其言,to suffer the consequences of one's own words,JSON,"[""to suffer the consequences of one's own words""]"
公诸同好,to make public among like-minded people,JSON,['to make public among like-minded people']
胡里胡涂,"confused and disordered, without any clear direction or purpose",JSON,"['confused and disordered, without any clear direction or purpose']"
旧事重提,bringing up old matters again; reopening a past issue,JSON,"['bringing up old matters again', 'reopening a past issue']"
顾名思义,"as the name implies, as the name suggests",JSON,"['as the name implies, as the name suggests']"
良宵美景,a beautiful night scenery,JSON,['a beautiful night scenery']
克绍箕裘,to inherit and carry on the good traditions or legacies,JSON,['to inherit and carry on the good traditions or legacies']
拔苗助长,to spoil things by excessive enthusiasm or haste; to hinder progress by trying to expedite it,JSON,"['to spoil things by excessive enthusiasm or haste', 'to hinder progress by trying to expedite it']"
楚楚可怜,adorable and pitiful-looking,JSON,['adorable and pitiful-looking']
如日方升,"rising steadily and rapidly, like the sun in the morning",JSON,"['rising steadily and rapidly, like the sun in the morning']"
分而治之,divide and conquer,JSON,['divide and conquer']
听其言而观其行,judge someone's words by their actions,JSON,"[""judge someone's words by their actions""]"
病急乱投医,making hasty decisions or seeking help from unreliable sources when in desperate situations,JSON,['making hasty decisions or seeking help from unreliable sources when in desperate situations']
狼奔豕突,"act recklessly and violently, like wolves and boars",JSON,"['act recklessly and violently, like wolves and boars']"
杯酒言欢,to enjoy oneself while drinking and chatting,JSON,['to enjoy oneself while drinking and chatting']
不欢而散,parting without joy,JSON,['parting without joy']
无可无不可,"Everything is acceptable, there is nothing that is not acceptable",JSON,"['everything is acceptable, there is nothing that is not acceptable']"
生财之道,the way or method to make money,JSON,['the way or method to make money']
哀鸿遍地,a scene of widespread suffering and misery,JSON,['a scene of widespread suffering and misery']
源源本本,"from the source, pure and untouched",JSON,"['from the source, pure and untouched']"
争奇斗艳,"to compete for attention or to show off, often in a flashy or extravagant way",JSON,"['to compete for attention or to show off, often in a flashy or extravagant way']"
不务空名,not just talking about empty words,JSON,['not just talking about empty words']
无可如何,helpless; there's nothing that can be done,JSON,"['helpless', ""there's nothing that can be done""]"
杜鹃啼血,to show extreme grief or sorrow,JSON,['to show extreme grief or sorrow']
心腹大患,a great hidden danger in one's own camp or inner circle,JSON,"[""a great hidden danger in one's own camp or inner circle""]"
乘兴而来,"to come with enthusiasm, to come in high spirits",JSON,"['to come with enthusiasm, to come in high spirits']"
汲汲皇皇,being overly anxious and restless,JSON,['being overly anxious and restless']
不闻不问,not pay attention to or show interest in,JSON,['not pay attention to or show interest in']
分路扬镳,to part ways and go separate paths,JSON,['to part ways and go separate paths']
情非得已,having no other choice but to do something because of the circumstances or emotions,JSON,['having no other choice but to do something because of the circumstances or emotions']
细水长流,"a steady and continuous effort over a long period of time, gradually achieving desired results",JSON,"['a steady and continuous effort over a long period of time, gradually achieving desired results']"
美轮美奂,exquisitely beautiful and magnificent,JSON,['exquisitely beautiful and magnificent']
他山之石,a valuable lesson or inspiration from others' successful experiences,JSON,"[""a valuable lesson or inspiration from others' successful experiences""]"
喜新厌旧,"easily bored, always seeking new things and losing interest in old ones",JSON,"['easily bored, always seeking new things and losing interest in old ones']"
浮而不实,superficial and lacking substance; appearing impressive but lacking in depth or solidity,JSON,"['superficial and lacking substance', 'appearing impressive but lacking in depth or solidity']"
铩羽而归,to return empty-handed or suffer a defeat,JSON,['to return empty-handed or suffer a defeat']
长风破浪,Break through difficulties and obstacles with strong determination and perseverance,JSON,['break through difficulties and obstacles with strong determination and perseverance']
坚甲利兵,to strengthen one's defenses and enhance one's military capabilities,JSON,"[""to strengthen one's defenses and enhance one's military capabilities""]"
天下乌鸦一般黑,Everyone is equally bad or guilty.,JSON,['everyone is equally bad or guilty.']
黄雀在后,"someone is following closely behind, indicating potential danger",JSON,"['someone is following closely behind, indicating potential danger']"
法力无边,boundless power or capability,JSON,['boundless power or capability']
横行不法,engaging in illegal activities without any regard for the law,JSON,['engaging in illegal activities without any regard for the law']
神采飞扬,radiant and full of energy,JSON,['radiant and full of energy']
天打雷劈,divine retribution,JSON,['divine retribution']
自作主张,to act according to one's own will without considering others' opinions or authority,JSON,"[""to act according to one's own will without considering others' opinions or authority""]"
脚踏实地,down-to-earth; be steadfast and practical in attitude and approach,JSON,"['down-to-earth', 'be steadfast and practical in attitude and approach']"
人迹罕至,a place rarely visited by people,JSON,['a place rarely visited by people']
永垂青史,to be remembered in history forever,JSON,['to be remembered in history forever']
冰冻三尺，非一日之寒,a problem or situation that has developed over a long period of time and cannot be solved immediately,JSON,['a problem or situation that has developed over a long period of time and cannot be solved immediately']
截然不同,"completely different, completely contrasting",JSON,"['completely different, completely contrasting']"
纲举目张,paying attention to important issues; having a clear overall plan,JSON,"['paying attention to important issues', 'having a clear overall plan']"
毅然决然,"determined and decisive, making a decision or taking action without hesitation",JSON,"['determined and decisive, making a decision or taking action without hesitation']"
偃武修文,Abandoning military power and focusing on cultural and academic pursuits,JSON,['abandoning military power and focusing on cultural and academic pursuits']
游山玩水,sightseeing and enjoying oneself in picturesque mountains and rivers,JSON,['sightseeing and enjoying oneself in picturesque mountains and rivers']
五斗折腰,submit to humiliation or bend over backwards to please someone in a subservient manner,JSON,['submit to humiliation or bend over backwards to please someone in a subservient manner']
恍然大悟,suddenly realizing or comprehending something; having a sudden burst of understanding or insight,JSON,"['suddenly realizing or comprehending something', 'having a sudden burst of understanding or insight']"
滑头滑脑,clever and scheming,JSON,['clever and scheming']
安步当车,to adopt a conservative and cautious approach; to proceed slowly and steadily,JSON,"['to adopt a conservative and cautious approach', 'to proceed slowly and steadily']"
龙盘虎踞,Dragons winding and tigers squatting,JSON,['dragons winding and tigers squatting']
才子佳人,a talented man and a beautiful woman; an ideal couple,JSON,"['a talented man and a beautiful woman', 'an ideal couple']"
阳春白雪,"a plain and simple style of writing or speech, without any embellishments or artistic flourishes",JSON,"['a plain and simple style of writing or speech, without any embellishments or artistic flourishes']"
国士无双,"""unparalleled genius"" or ""unrivaled talent""",JSON,"['unparalleled genius', 'unrivaled talent']"
热火朝天,boisterously lively and bustling,JSON,['boisterously lively and bustling']
诲人不倦,to tirelessly educate and teach others,JSON,['to tirelessly educate and teach others']
敲骨吸髓,"to exploit someone to the fullest extent, squeezing out every last bit of benefit from them",JSON,"['to exploit someone to the fullest extent, squeezing out every last bit of benefit from them']"
大笔如椽,"""writing a lot, like a large beam"" (refers to writing or painting with a large brush)",JSON,"['writing a lot, like a large beam']"
乌飞兔走,very fast; at lightning speed,JSON,"['very fast', 'at lightning speed']"
丰功伟绩,great achievements or accomplishments,JSON,['great achievements or accomplishments']
花攒锦簇,"a scene of colorful flowers and rich decorations, symbolizing a festive and joyous atmosphere",JSON,"['a scene of colorful flowers and rich decorations, symbolizing a festive and joyous atmosphere']"
以沫相濡,supporting and helping each other during difficult times,JSON,['supporting and helping each other during difficult times']
意得志满,feeling satisfied and fulfilled with one's accomplishments,JSON,"[""feeling satisfied and fulfilled with one's accomplishments""]"
险象环生,surrounded by dangers on all sides; in an extremely dangerous situation,JSON,"['surrounded by dangers on all sides', 'in an extremely dangerous situation']"
原封不动,"remaining unchanged, as it is",JSON,"['remaining unchanged, as it is']"
肆无忌惮,acting brazenly without any restraint or consideration for the consequences,JSON,['acting brazenly without any restraint or consideration for the consequences']
临崖勒马,"""to pull the reins of the horse on the edge of a cliff"", meaning ""to stop or change course at the last moment in order to avoid a disastrous outcome""",JSON,"['to pull the reins of the horse on the edge of a cliff', 'to stop or change course at the last moment in order to avoid a disastrous outcome']"
辛辛苦苦,work hard and endure hardships,JSON,['work hard and endure hardships']
死灰复燃,to have a comeback after a decline or setback,JSON,['to have a comeback after a decline or setback']
怀才不遇,possessing talent but not having the opportunity to use or display it,JSON,['possessing talent but not having the opportunity to use or display it']
婆婆妈妈,overly cautious and fussy,JSON,['overly cautious and fussy']
冷暖自知,"aware of one's own situation, including both the good and bad aspects",JSON,"[""aware of one's own situation, including both the good and bad aspects""]"
坐怀不乱,remaining calm and composed in the face of temptation or adversity,JSON,['remaining calm and composed in the face of temptation or adversity']
不怀好意,having ill intentions,JSON,['having ill intentions']
三纸无驴,to have no evidence or proof to support one's claims or arguments,JSON,"[""to have no evidence or proof to support one's claims or arguments""]"
贪婪无厌,"insatiable greed, never satisfied",JSON,"['insatiable greed, never satisfied']"
怡然自得,being content and self-satisfied,JSON,['being content and self-satisfied']
因地制宜,adapting measures to local conditions; making suitable arrangements according to specific circumstances,JSON,"['adapting measures to local conditions', 'making suitable arrangements according to specific circumstances']"
开源节流,seeking ways to increase income while reducing expenses,JSON,['seeking ways to increase income while reducing expenses']
井然有序,orderly and well-organized,JSON,['orderly and well-organized']
甘败下风,accepting defeat gracefully,JSON,['accepting defeat gracefully']
皆大欢喜,a win-win situation; everyone is happy and satisfied,JSON,"['a win-win situation', 'everyone is happy and satisfied']"
二分明月,two halves of a bright moon,JSON,['two halves of a bright moon']
泼水难收,"difficult to control or restrain; once something is done, it cannot be easily undone",JSON,"['difficult to control or restrain', 'once something is done, it cannot be easily undone']"
义愤填膺,filled with righteous indignation,JSON,['filled with righteous indignation']
负隅顽抗,to resist stubbornly despite being in a disadvantaged or hopeless situation,JSON,['to resist stubbornly despite being in a disadvantaged or hopeless situation']
子曰诗云,The words of the sage are as the verses of a poem,JSON,['the words of the sage are as the verses of a poem']
目无法纪,to have no sense of shame or propriety; to be completely lawless or disregarding rules and regulations,JSON,"['to have no sense of shame or propriety', 'to be completely lawless or disregarding rules and regulations']"
老奸巨猾,old and cunning,JSON,['old and cunning']
多难兴邦,Through adversity comes strength; a nation grows stronger in the face of difficulties,JSON,"['through adversity comes strength', 'a nation grows stronger in the face of difficulties']"
花容月貌,"having a beautiful appearance, like flowers and the moon",JSON,"['having a beautiful appearance, like flowers and the moon']"
贪官污吏,corrupt officials,JSON,['corrupt officials']
兄弟阋墙,brothers fighting against each other,JSON,['brothers fighting against each other']
食指大动,have a strong desire for food,JSON,['have a strong desire for food']
愚昧无知,ignorant and uninformed,JSON,['ignorant and uninformed']
吐故纳新,Letting go of the old and accepting the new,JSON,['letting go of the old and accepting the new']
年高德劭,be of advanced age and have excellent moral integrity,JSON,['be of advanced age and have excellent moral integrity']
大开眼界,to broaden one's horizons,JSON,"[""to broaden one's horizons""]"
休养生息,to rest and recuperate; to take a break from work or daily activities in order to restore energy and vitality,JSON,"['to rest and recuperate', 'to take a break from work or daily activities in order to restore energy and vitality']"
夙夜匪懈,persevering day and night,JSON,['persevering day and night']
名不副实,"not living up to one's reputation, being less impressive than expected",JSON,"[""not living up to one's reputation, being less impressive than expected""]"
一无所求,have no desires or demands,JSON,['have no desires or demands']
一笑千金,a smile worth a thousand pieces of gold,JSON,['a smile worth a thousand pieces of gold']
巨细无遗,paying meticulous attention to every detail,JSON,['paying meticulous attention to every detail']
既来之，则安之,"Since it has come, then accept it calmly.",JSON,"['since it has come, then accept it calmly.']"
厚今薄古,"valuing the present while disregarding the past, emphasizing modernity over tradition",JSON,"['valuing the present while disregarding the past, emphasizing modernity over tradition']"
任人唯亲,"favoritism towards friends and relatives, disregarding others",JSON,"['favoritism towards friends and relatives, disregarding others']"
一衣带水,"""a long river flowing through one's clothes"" or ""a river running just through one's clothes""",JSON,"[""a long river flowing through one's clothes"", ""a river running just through one's clothes""]"
来势汹汹,coming in a threatening manner; approaching rapidly and forcefully,JSON,"['coming in a threatening manner', 'approaching rapidly and forcefully']"
雕章琢句,meticulously crafted and refined; referring to writing or speaking that is well-crafted and precise,JSON,"['meticulously crafted and refined', 'referring to writing or speaking that is well-crafted and precise']"
饥寒交迫,"to be in extreme poverty and hardship, facing both hunger and cold",JSON,"['to be in extreme poverty and hardship, facing both hunger and cold']"
与日俱增,"growing day by day, gradually increasing",JSON,"['growing day by day, gradually increasing']"
饭来张口，衣来伸手,Eating with an open mouth and receiving clothes with open hands,JSON,['eating with an open mouth and receiving clothes with open hands']
漫不经意,"casually, without intention or careful consideration",JSON,"['casually, without intention or careful consideration']"
转瞬之间,"in the blink of an eye, in a very short time",JSON,"['in the blink of an eye, in a very short time']"
餐风露宿,eating wind and sleeping under the stars,JSON,['eating wind and sleeping under the stars']
彬彬有礼,polite and courteous,JSON,['polite and courteous']
不揣冒昧,to not hesitate or feel uneasy in making a request or asking a question,JSON,['to not hesitate or feel uneasy in making a request or asking a question']
一笔抹杀,to completely eliminate or belittle something with a single stroke,JSON,['to completely eliminate or belittle something with a single stroke']
毛骨悚然,to feel a chilling sensation down one's spine,JSON,"[""to feel a chilling sensation down one's spine""]"
大义灭亲,to prioritize and uphold righteousness over family ties or personal relationships,JSON,['to prioritize and uphold righteousness over family ties or personal relationships']
沾花惹草,flirting with other people's spouses or partners,JSON,"[""flirting with other people's spouses or partners""]"
不忮不求,"not causing trouble or seeking benefits, staying content with the current situation",JSON,"['not causing trouble or seeking benefits, staying content with the current situation']"
尊师重道,to respect and uphold teachers' guidance and traditional values,JSON,"[""to respect and uphold teachers' guidance and traditional values""]"
打入冷宫,to be demoted or placed in a neglected or isolated position,JSON,['to be demoted or placed in a neglected or isolated position']
鸣金收兵,to blow the trumpet and call off the troops,JSON,['to blow the trumpet and call off the troops']
流连忘反,"distracted and forgetful, unable to focus or concentrate",JSON,"['distracted and forgetful, unable to focus or concentrate']"
津津乐道,taking great pleasure in discussing or gossiping about something,JSON,['taking great pleasure in discussing or gossiping about something']
无敌于天下,invincible; unbeatable,JSON,"['invincible', 'unbeatable']"
藏垢纳污,tolerating and accepting the flaws and mistakes of others,JSON,['tolerating and accepting the flaws and mistakes of others']
不辞劳苦,willing to endure hardships,JSON,['willing to endure hardships']
闭关锁国,"to isolate oneself from the outside world, to adopt a policy of seclusion",JSON,"['to isolate oneself from the outside world, to adopt a policy of seclusion']"
西风落叶,"the feeling of desolation or sadness, often associated with the end of a season or the passing of time",JSON,"['the feeling of desolation or sadness, often associated with the end of a season or the passing of time']"
每逢佳节倍思亲,"During every holiday, one misses their family even more.",JSON,"['during every holiday, one misses their family even more.']"
蜀犬吠日,the ignorant or foolish person attempting to criticize or challenge someone who is far superior or beyond their understanding,JSON,['the ignorant or foolish person attempting to criticize or challenge someone who is far superior or beyond their understanding']
言不尽意,"expressing dissatisfaction or disappointment with words, not being able to fully articulate one's true feelings",JSON,"[""expressing dissatisfaction or disappointment with words, not being able to fully articulate one's true feelings""]"
天姿国色,exquisite and beautiful appearance,JSON,['exquisite and beautiful appearance']
玉洁冰清,pure and honest; referring to a person with a clean and upright character,JSON,"['pure and honest', 'referring to a person with a clean and upright character']"
兰质蕙心,graceful and virtuous,JSON,['graceful and virtuous']
光阴荏苒,time flies,JSON,['time flies']
一佛出世,an extraordinary person has appeared,JSON,['an extraordinary person has appeared']
必由之路,the only way to achieve a certain goal,JSON,['the only way to achieve a certain goal']
俯拾即是,able to readily pick up or obtain something; something is so clearly evident that it requires no effort to grasp or understand,JSON,"['able to readily pick up or obtain something', 'something is so clearly evident that it requires no effort to grasp or understand']"
大雅之堂,a place of refined and elegant manners; also refers to a high-level and cultured environment,JSON,"['a place of refined and elegant manners', 'also refers to a high-level and cultured environment']"
良药苦口利于病，忠言逆耳利于行,Good medicine tastes bitter but is good for the illness; words of advice may sound harsh but are good for action.,JSON,"['good medicine tastes bitter but is good for the illness', 'words of advice may sound harsh but are good for action.']"
千山万壑,"a vast and rugged landscape, full of mountains and valleys",JSON,"['a vast and rugged landscape, full of mountains and valleys']"
俯仰由人,Depend on others for one's fate,JSON,"[""depend on others for one's fate""]"
日月经天，江河行地,"Covering the entire sky and earth, having a widespread influence",JSON,"['covering the entire sky and earth, having a widespread influence']"
先发制人,to take the initiative and make pre-emptive strikes,JSON,['to take the initiative and make pre-emptive strikes']
细大不捐,pay attention to detail without neglecting the bigger picture,JSON,['pay attention to detail without neglecting the bigger picture']
自鸣清高,to be self-righteous and pretentious,JSON,['to be self-righteous and pretentious']
面如土色,having a pale and frightened expression,JSON,['having a pale and frightened expression']
闪烁其词,"to be evasive or unsure in speech, avoiding giving a clear or direct answer",JSON,"['to be evasive or unsure in speech, avoiding giving a clear or direct answer']"
有目共见,evident and clear to all,JSON,['evident and clear to all']
戴高帽子,to praise or flatter someone excessively,JSON,['to praise or flatter someone excessively']
不言而喻,"obvious or self-evident, not needing to be explained in words",JSON,"['obvious or self-evident, not needing to be explained in words']"
一鳞半爪,a tiny bit; a small part,JSON,"['a tiny bit', 'a small part']"
桴鼓相应,responding in kind,JSON,['responding in kind']
入境问禁,to ask for permission or guidance when entering a new environment or situation,JSON,['to ask for permission or guidance when entering a new environment or situation']
